% Date [YYYYMMDD],20230626,,,,,,,
% Experimenter,LH,,,,,,,
% Experiment,GammaSleep,,,,,,,
% Condition,exp,,,,,,,
% Note,,,,,,,,
%  ,,,,,,,,
% Sample rate [Hz],80,,,,,,,
% MinValue,0,,,,,,,
% MaxValue,320,,,,,,,
% NSamples,400,,,,,,,
% NRepeat,1,,,,,,,
% ,,,,,,,,
Sample,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Trigger,Note
252,0,0,0,0,0,0,0,
253,80,80,0,0,0,0,0,
254,0,0,0,0,0,0,0,
255,79,79,0,0,0,0,0,
256,0,0,0,0,0,0,0,
257,77,77,0,0,0,0,0,
258,0,0,0,0,0,0,0,
259,75,75,0,0,0,0,0,
260,0,0,0,0,0,0,0,
261,73,73,0,0,0,0,0,
262,0,0,0,0,0,0,0,
263,72,72,0,0,0,0,0,
264,0,0,0,0,0,0,0,
265,70,70,0,0,0,0,0,
266,0,0,0,0,0,0,0,
267,68,68,0,0,0,0,0,
268,0,0,0,0,0,0,0,
269,67,67,0,0,0,0,0,
270,0,0,0,0,0,0,0,
271,65,65,0,0,0,0,0,
272,0,0,0,0,0,0,0,
273,63,63,0,0,0,0,0,
274,0,0,0,0,0,0,0,
275,62,62,0,0,0,0,0,
276,0,0,0,0,0,0,0,
277,60,60,0,0,0,0,0,
278,0,0,0,0,0,0,0,
279,59,59,0,0,0,0,0,
280,0,0,0,0,0,0,0,
281,57,57,0,0,0,0,0,
282,0,0,0,0,0,0,0,
283,55,55,0,0,0,0,0,
284,0,0,0,0,0,0,0,
285,54,54,0,0,0,0,0,
286,0,0,0,0,0,0,0,
287,52,52,0,0,0,0,0,
288,0,0,0,0,0,0,0,
289,51,51,0,0,0,0,0,
290,0,0,0,0,0,0,0,
291,49,49,0,0,0,0,0,
292,0,0,0,0,0,0,0,
293,48,48,0,0,0,0,0,
294,0,0,0,0,0,0,0,
295,46,46,0,0,0,0,0,
296,0,0,0,0,0,0,0,
297,45,45,0,0,0,0,0,
298,0,0,0,0,0,0,0,
299,43,43,0,0,0,0,0,
300,0,0,0,0,0,0,0,
301,42,42,0,0,0,0,0,
302,0,0,0,0,0,0,0,
303,41,41,0,0,0,0,0,
304,0,0,0,0,0,0,0,
305,39,39,0,0,0,0,0,
306,0,0,0,0,0,0,0,
307,38,38,0,0,0,0,0,
308,0,0,0,0,0,0,0,
309,37,37,0,0,0,0,0,
310,0,0,0,0,0,0,0,
311,35,35,0,0,0,0,0,
312,0,0,0,0,0,0,0,
