"% Date [YYYYMMDD]";20230317;;;;;;;
"% Experimenter";"MS";;;;;;;
"% Experiment";"SleepLight";;;;;;;
"% Condition";"SineWaveBlue";;;;;;;
"% Note";"Stimulation of Light";;;;;;;
"% ";;;;;;;;
"% Sample rate [Hz]";40;;"achtzig werte prosekunde";;;;;
"% MinValue";0;;;;;;;
"% MaxValue";4095;;;;;;;
"% NSamples";400;;;;;;;
"% NRepeat";2;;;;;;;
"%";;;;;;;;
"Sample";"Channel1";"Channel2";"Channel3";"Channel4";"Channel5";"Channel6";"Trigger";"Note"
268;0;4095;0;0;0;0;0;
269;4095;4095;0;0;0;0;1;
270;4095;4095;0;0;0;1;0;
271;4095;4095;0;0;0;1;1;"long read"
272;4095;4095;0;0;1;0;0;
273;4095;4095;0;0;1;0;1;
274;4095;4095;0;0;1;1;0;
275;4095;4095;0;0;1;1;1;
276;4095;4095;0;1;0;0;0;
277;0;4095;0;1;0;0;1;
278;0;4095;0;1;0;1;0;
279;0;0;0;1;0;1;1;
280;0;0;0;1;1;0;0;
281;4095;0;0;1;1;0;1;
282;4095;0;0;1;1;1;0;
283;4095;0;0;1;1;1;1;
284;4095;0;1;0;0;0;0;
285;0;0;1;0;0;0;1;
286;0;0;1;0;0;1;0;
287;4095;0;1;0;0;1;1;
288;4095;0;1;0;1;0;0;
289;0;0;1;0;1;0;1;
290;4095;0;1;0;1;1;0;
291;0;0;1;0;1;1;1;
292;0;0;1;1;0;0;0;
293;0;0;1;1;0;0;1;"long read"
294;0;4095;1;1;0;1;0;
295;0;4095;1;1;0;1;1;
296;0;4095;1;1;1;0;0;
297;0;4095;1;1;1;0;1;
298;0;4095;1;1;1;1;0;
299;4095;4095;1;1;1;1;1;
300;4095;4095;0;0;0;0;0;
301;4095;4095;0;0;0;0;1;
302;4095;4095;0;0;0;1;0;
303;4095;4095;0;0;0;1;1;
304;4095;4095;0;0;1;0;0;
305;4095;4095;0;0;1;0;1;
306;4095;4095;0;0;1;1;0;
307;0;4095;0;0;1;1;1;
308;0;4095;0;1;0;0;0;
309;0;4095;0;1;0;0;1;
310;0;0;0;1;0;1;0;
311;4095;0;0;1;0;1;1;
312;4095;0;0;1;1;0;0;
313;4095;0;0;1;1;0;1;
314;4095;0;0;1;1;1;0;
315;0;0;0;1;1;1;1;"long read"
316;0;0;1;0;0;0;0;
317;4095;0;1;0;0;0;1;
318;4095;0;1;0;0;1;0;
319;0;0;1;0;0;1;1;
320;4095;0;1;0;1;0;0;
321;0;0;1;0;1;0;1;
322;0;0;1;0;1;1;0;
323;0;0;1;0;1;1;1;
324;0;0;1;1;0;0;0;
325;0;4095;1;1;0;0;1;
326;0;4095;1;1;0;1;0;
327;0;4095;1;1;0;1;1;
328;0;4095;1;1;1;0;0;
329;4095;4095;1;1;1;0;1;
330;4095;4095;1;1;1;1;0;
331;4095;4095;1;1;1;1;1;
332;4095;4095;0;0;0;0;0;
333;4095;4095;0;0;0;0;1;
334;4095;4095;0;0;0;1;0;
335;4095;4095;0;0;0;1;1;
336;4095;4095;0;0;1;0;0;
337;0;4095;0;0;1;0;1;"long read"
338;0;4095;0;0;1;1;0;
339;0;4095;0;0;1;1;1;
340;0;4095;0;1;0;0;0;
341;4095;0;0;1;0;0;1;
342;4095;0;0;1;0;1;0;
343;4095;0;0;1;0;1;1;
344;4095;0;0;1;1;0;0;
345;0;0;0;1;1;0;1;
346;0;0;0;1;1;1;0;
347;4095;0;0;1;1;1;1;
348;4095;0;1;0;0;0;0;
349;0;0;1;0;0;0;1;
350;4095;0;1;0;0;1;0;
351;0;0;1;0;0;1;1;
352;0;0;1;0;1;0;0;
353;0;0;1;0;1;0;1;
354;0;0;1;0;1;1;0;
355;0;0;1;0;1;1;1;
356;0;4095;1;1;0;0;0;
357;0;4095;1;1;0;0;1;
358;0;4095;1;1;0;1;0;
359;4095;4095;1;1;0;1;1;
360;4095;4095;1;1;1;0;0;"long read"
361;4095;4095;1;1;1;0;1;
362;4095;4095;1;1;1;1;0;
363;4095;4095;1;1;1;1;1;
364;4095;4095;0;0;0;0;0;
365;4095;4095;0;0;0;0;1;
366;4095;4095;0;0;0;1;0;
367;0;4095;0;0;0;1;1;
368;0;4095;0;0;1;0;0;
369;0;4095;0;0;1;0;1;"long read"
370;0;4095;0;0;1;1;0;
371;4095;4095;0;0;1;1;1;
372;4095;0;0;1;0;0;0;
373;4095;0;0;1;0;0;1;
374;4095;0;0;1;0;1;0;
375;0;0;0;1;0;1;1;
376;0;0;0;1;1;0;0;
377;4095;0;0;1;1;0;1;
378;4095;0;0;1;1;1;0;
379;0;0;0;1;1;1;1;
380;4095;0;1;0;0;0;0;
381;4095;0;1;0;0;0;1;
382;4095;0;1;0;0;1;0;
383;4095;0;1;0;0;1;1;
