% Date [YYYYMMDD];20230317;;;;;
% Experimenter;MS;;;;;
% Experiment;SleepLight;;;;;
% Condition;SineWaveBlue;;;;;
% Note;Stimulation of Light;;;;;
% ;;;;;;
% Sample rate [Hz];80;;achtzig werte prosekunde;;;
% MinValue;0;;;;;
% MaxValue;4095;;;;;
% NSamples;800;;;;;
% NRepeat;30;;;;;
%;;;;;;
Sample;Channel1;Channel2;Channel3;Channel4;Trigger;Note
492;0;0;0;0;0;
493;4095;4095;0;0;1;
494;0;0;0;0;0;
495;4095;4095;0;0;1;
496;0;0;0;0;0;
497;4095;4095;0;0;1;
498;0;0;0;0;0;
499;4095;4095;0;0;1;
500;0;0;0;0;0;
501;4095;4095;0;0;1;
502;0;0;0;0;0;
503;4095;4095;0;0;1;
504;0;0;0;0;0;
505;4095;4095;0;0;1;
506;0;0;0;0;0;
507;4095;4095;0;0;1;
508;0;0;0;0;0;
509;4095;4095;0;0;1;
510;0;0;0;0;0;
511;4095;4095;0;0;1;
512;0;0;0;0;0;
513;4095;4095;0;0;1;
514;0;0;0;0;0;
515;4095;4095;0;0;1;
516;0;0;0;0;0;
517;4095;4095;0;0;1;
518;0;0;0;0;0;
519;4095;4095;0;0;1;
520;0;0;0;0;0;
521;4095;4095;0;0;1;
522;0;0;0;0;0;
523;4095;4095;0;0;1;
524;0;0;0;0;0;
525;4095;4095;0;0;1;
526;0;0;0;0;0;
527;4095;4095;0;0;1;
528;0;0;0;0;0;
529;4095;4095;0;0;1;
530;0;0;0;0;0;
531;4095;4095;0;0;1;
532;0;0;0;0;0;
533;4095;4095;0;0;1;
534;0;0;0;0;0;
535;4095;4095;0;0;1;
536;0;0;0;0;0;
537;4095;4095;0;0;1;
538;0;0;0;0;0;
539;4095;4095;0;0;1;
540;0;0;0;0;0;
541;4095;4095;0;0;1;
542;0;0;0;0;0;
543;4095;4095;0;0;1;
544;0;0;0;0;0;
545;4095;4095;0;0;1;
546;0;0;0;0;0;
547;4095;4095;0;0;1;
548;0;0;0;0;0;
549;4095;4095;0;0;1;
550;0;0;0;0;0;
551;4095;4095;0;0;1;
552;0;0;0;0;0;
553;4095;4095;0;0;1;
554;0;0;0;0;0;
555;4095;4095;0;0;1;
556;0;0;0;0;0;
557;4095;4095;0;0;1;
558;0;0;0;0;0;
559;4095;4095;0;0;1;
560;0;0;0;0;0;
561;4095;4095;0;0;1;
562;0;0;0;0;0;
563;4095;4095;0;0;1;
564;0;0;0;0;0;
565;4095;4095;0;0;1;
566;0;0;0;0;0;
567;4095;4095;0;0;1;
568;0;0;0;0;0;
569;4095;4095;0;0;1;
570;0;0;0;0;0;
571;4095;4095;0;0;1;
572;0;0;0;0;0;
573;4095;4095;0;0;1;
574;0;0;0;0;0;
575;4095;4095;0;0;1;
576;0;0;0;0;0;
577;4095;4095;0;0;1;
578;0;0;0;0;0;
579;4095;4095;0;0;1;
580;0;0;0;0;0;
581;4095;4095;0;0;1;
582;0;0;0;0;0;
583;4095;4095;0;0;1;
584;0;0;0;0;0;
585;4095;4095;0;0;1;
586;0;0;0;0;0;
587;4095;4095;0;0;1;
588;0;0;0;0;0;
589;4095;4095;0;0;1;
590;0;0;0;0;0;
591;4095;4095;0;0;1;
592;0;0;0;0;0;
593;4095;4095;0;0;1;
594;0;0;0;0;0;
595;4095;4095;0;0;1;
596;0;0;0;0;0;
597;4095;4095;0;0;1;
598;0;0;0;0;0;
599;4095;4095;0;0;1;
600;0;0;0;0;0;
601;4095;4095;0;0;1;
602;0;0;0;0;0;
603;4095;4095;0;0;1;
604;0;0;0;0;0;
605;4095;4095;0;0;1;
606;0;0;0;0;0;
607;4095;4095;0;0;1;
608;0;0;0;0;0;
609;4095;4095;0;0;1;
610;0;0;0;0;0;
611;4095;4095;0;0;1;
612;0;0;0;0;0;
613;4095;4095;0;0;1;
614;0;0;0;0;0;
615;4095;4095;0;0;1;
616;0;0;0;0;0;
617;4095;4095;0;0;1;
618;0;0;0;0;0;
619;4095;4095;0;0;1;
620;0;0;0;0;0;
621;4095;4095;0;0;1;
622;0;0;0;0;0;
623;4095;4095;0;0;1;
624;0;0;0;0;0;
625;4095;4095;0;0;1;
626;0;0;0;0;0;
627;4095;4095;0;0;1;
628;0;0;0;0;0;
629;4095;4095;0;0;1;
630;0;0;0;0;0;
631;4095;4095;0;0;1;
632;0;0;0;0;0;
633;4095;4095;0;0;1;
634;0;0;0;0;0;
635;4095;4095;0;0;1;
636;0;0;0;0;0;
637;4095;4095;0;0;1;
638;0;0;0;0;0;
639;4095;4095;0;0;1;
640;0;0;0;0;0;
